질문,답변
성기 귀두부분 피지낭종인가요?,안녕하세요. 메디이즈입니다.  단순 구진 등의 피부 소견 가능성으로 크게 걱정하지 마시고 피부과 진료를 받도록 하십시오.  링크된 동영상에서 추가 설명 드리겠습니다. httpswww.youtube.comwatch?v9Y8b6NwcbY
시력안경도수 등문의,안녕하세요. 메디이즈입니다. 1. 보통 위 정도 도수라면 0.40.6정도 시력이 나옵니다. 2. 도움이 되는 것은 사실이지만 얼마만큼 도움이 되는지를 수치화해서 말씀드리기는 어렵습니다. 3. 녹내장 가족력이 없고 물구나무를 계속 서는 정도로 얼굴이나 눈에 압력이 올라가게 운동을 하지 않는다면 근력운동을 하더라도 순간적으로 안압이 올라갈 수 있지만 눈에 큰 영향을 주지는 않습니다. 도움이 되셨으면 좋겠습니다. 감사합니다.
코뼈 비관혈적 정복술을 받은 후 운동,안녕하세요. 메디이즈입니다. 비관혈적 정복술 후 코뼈 골절 회복 기간은 일반적으로 약 6주 정도 걸립니다. 초기 2주 동안은 특히 조심해야 하며 부목을 착용하더라도 배드민턴이나 조깅과 같은 신체 활동은 피하는 것이 좋겠습니다. 부목 착용 시에도 충격을 줄 수 있어 추가 손상을 일으킬 여지가 있습니다. 주치의와 상의하여 운동이 가능한 시점을 확인하시는게 좋겠고 일반적으로 46주 후에 가벼운 운동을 시작하는 것이 안전합니다.
머리에서 소리가 납니다,안녕하세요. 메디이즈입니다.  많이 불편하시죠? 이비인후과적으로 문제가 없다고 하면 신경과 진찰을 한번 받아보실 수 있습니다. 소리가 간헐적인가요? 지속적으로 나나요?
항문에서 변이 묻어나올 경우,안녕하세요. 메디이즈입니다. 네 항문외과에서 진료를 받아야 합니다. 엉덩이에서 따가움이 느껴지고 대변이 묻어나오는 증상은 항문 누공 치루 항문 주위 피부염 괄약근 약화 치핵 등이 원인일 수 있습니다. 항문외과에서의 진료를 통해 원인을 알아내야 하겠습니다.
하체저림 헤르페스 관련,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나   나중에 사주째 다시 혈액검사 를 받아서 확인하시는 것이 최선으로 보입니다 현재로는 관련은 없어 보입니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
무릎 애매한 통증 허벅지증상 봐주세요,안녕하세요. 메디이즈입니다.  뼈에 이상이 없다? 골절이 아니거나 변형이 없다는 이야기 이지 이것이 정상이라는 것은 아닙니다.  생활 속에서 무릎 관절에 부담이 되어 나타나는 현상 같은데 대표적으로는 슬개골 연골 연화증 같은 것도 있습니다.  진찰이 중요할 듯하며  정형외과 진료가 좋겠습니다. 다니시던 곳에서 마땅한 만족을 못하신다면 병원을 옮겨 보시는것도 어떨까 하네요.  감사합니다.
대퇴골 몸통 골절,안녕하세요. 메디이즈입니다.  크게 다치셨나 봅니다.  통증에 준해서 치료 하면서 조금 더 지켜보아도 되지 않을까 합니다.  수술하신 주치의 선생님과 상담 잘 해보시고 정기적인 진료 받도록 하세요.  감사합니다.
극상근염 처방약 질문,안녕하세요. 메디이즈입니다. 네 다이아세린Adtrodar과 셀레콕시브Celebrex는 주로 관절염 치료에 사용되는 약물이지만 근육 염증이나 통증 관리에도 사용될 수 있습니다. 1. 다이아세린Adtrodar 주로 골관절염 치료에 사용되며 염증을 줄이고 관절 건강을 개선하는 데 도움이 됩니다. 2. 셀레콕시브Celebrex 선택적 COXII 억제제로 NSAIDs처럼 염증과 통증을 줄이는 데 효과적입니다. 3. 마이오날Myonal 근육 이완제로 근육 통증과 경련을 완화하는 데 도움을 줍니다. 따라서 이 약들은 근육 염증과 관련된 통증과 염증을 완화하는 데도 적합한 처방입니다. 의사의 지시에 따라 복용하면 도움이 될 것이라 보입니다.
어머니 식습관,안녕하세요. 메디이즈입니다.  식습관을 가능하면 교정하신느게 좋겠습니다. 과도한 식사나 금식은 당뇨의 조절에 도움을 주지 않고 악영향을 줄 수 있습니다.
이것도 알레르기인가요?,안녕하세요. 메디이즈입니다. 상기 음식을 다 먹고 나서 증상이 있다면 알러지 보다는 메밀 성분 자체에 의한 반응 가능성이 높습니다. 답변이 도움이 되었기를 바랍니다.
동공홍채테두리 색번짐푸른색 안압 연관성,안녕하세요. 메디이즈입니다. 네. 아이가 가지고 있는 눈의 병으로 걱정이 많으실 것 같습니다. 답변을 드리자면 우선 위에 표시한 부분은 동공이 아닙니다. 동공은 홍채 가운데 빈공간을 말하며 광량에 따라 커졌다 작아졌다 하는 부분입니다. 위에 표시한 부분은 검은자위각막과 흰자위결막과 공막의 경계부위에 해당하는 부분입니다. 표시한 부분은 안압이 높아서 저렇게 변한 것일 가능성은 낮습니다. 정상적인 눈이라 하더라도 검은자위와 흰자위의 경계부위가 저렇게 보이는 경우가 휠씬 더 많습니다. 다만 어린 나이에 고안압이 지속된다면 검은자위 자체의 크기가 커지는 경향이 있습니다. 따라서 검은자위의 직경이 보통 1012mm정도 되는데 이보다 휠씬 커 보인다면 진료를 꼬 보는 것이 필요하겠습니다. 도움이 되셨으면 좋겠습니다. 감사합니다.
지켜보는 정도,안녕하세요. 메디이즈입니다.  아픈 부위나 증상이 무엇인지 얼마나 아픈지 어떤 진통제를 복용했는지에 따라 달라질 수 있습니다. 만약 통증이 심하거나 오래 지속된다면 병원에서 진료를 받아보는 것이 좋습니다.  통증이 심하지 않고 일상생활에 지장을 주지 않는다면 일주일 정도 더 지켜보는 것도 좋습니다. 하지만 통증이 점점 심해지거나 다른 증상이 나타난다면 병원에서 진료를 받아보는 것이 좋습니다.  진통제를 복용할 때는 용법과 용량을 잘 지켜서 복용해야 합니다. 또한 진통제를 복용해도 통증이 나아지지 않는다면 병원에서 진료를 받아보는 것이 좋습니다.
곤지름인가요 ...? 도와주세요,안녕하세요. 메디이즈입니다. 곤지름이나 헤르페스와 같은 성병의 특징적인 사마귀 모양이 관찰되어 HPV 검사에서 음성이더라도 제거가 필요하겠습니다. 답변이 도움이 되었기를 바랍니다.
이것도 알레르기인가요?,안녕하세요. 메디이즈입니다. 상기 음식을 다 먹고 나서 증상이 있다면 알러지 보다는 메밀 성분 자체에 의한 반응 가능성이 높습니다. 답변이 도움이 되었기를 바랍니다.
설사나 그런거는 없습니다,안녕하세요. 메디이즈입니다.  위염 등 위장장애가 있을 경우 소화에 영향을 미칠 수는 있습니다. 위장에서 필요한 산성화 작업 포함 소화작업이 잘안되어 상복부 불편감 구역감 속쓰림 심하면 역류성 식도염까지 발생할 수는 있습니다. 녹색변 하고 위장 장애하고는 큰 영향은 아니고 약간은 영향을 미칠 수는 있겠지만 주요 원인은 아닐 거라고 생각됩니다. 주로 담즙은 소장 대장을 거치면서 황토색으로 변하기 때문입니다.
안과적 문제인지 다른 문제인지 답변부탁드립니다,안녕하세요. 메디이즈입니다. 망막 진료 보시면서 검사 많이 하시긴 했네요. 해당 검사들을 받아도 큰 이상이 없다면 scintillating scotoma 같은 편두통의 안구 증상일 수 있으니 신경과 진료도 한번 받아보시는 걸 추천드립니다. 감사합니다.
20대 중반 맥압이 걱정됩니다,안녕하세요. 메디이즈입니다.  맥압의 차이는 있으나 실신과 같은 증상이 따로 없다면 일단은 경과를 지켜 보셔도 될꺼 같습니다. 정기적인 혈압을 체크해 보시기 바랍니다.
다리수술 후 다리모양이 이상해요,안녕하세요. 메디이즈입니다.  조금 더 큰 병원 방문하셔서 초음파 및 MRI등의 검사등을 받아보시는게 좋을것 같습니다  정확한 원인을 파악하셔야 그에 대한 처치가 가능할것 같습니다.  뼈의 변형에 의한것인지 근육의 변형인지...  종합병원급으로 한번 방문해보시기 바랍니다.  감사합니다.
23개월 여아,안녕하세요. 메디이즈입니다.  신경섬유종증은 사춘기 전에는 0.5cm 이상의 크기로 6개 이상 될때 고려하게 됩니다. 그리고 많은 진단 항목중 한 요소에 불과합니다. 다양한 판단이 중요하며 신경섬유종 주근깨 골이상 눈이상 등 다양한 검사 이후 진단하게 됩니다. 물론 최종 진단은 유전자 검사가 필요합니다. 다른 동반되는 소견 없이 사진과 같은 반점만 있을 경우에는 조금은 지켜보셔도 되지 않을까 생각됩니다.
대변색이,안녕하세요. 메디이즈입니다.  먹는거에 영향을 받을 수도 있습니다. 최근 먹는 영양제 혹은 음식 검토해 보세요. 장에서 이동속도가 빨라져 담즙성분이 미쳐 다 소화되지 못했을때 녹색변을 보일 수 있습니다. 장염이나 설사시에도 나타날 수 있습니다.
원형탈모 진행상황?,안녕하세요. 메디이즈입니다. 원형탈모 치료 중이라하더라도 조금 더 커지거나 다른 부위에도 발생할 수 있습니다. 흰머리가 올라오는 것은 흔한 증상이며 치료가 되고있는 과정입니다. 스테로이드 주사는 2주 간격 4회 이내가 좋지만 6회 정도 까지 투여하는 경우도 있습니다. 감사합니다.
파스 알레르기,안녕하세요. 메디이즈입니다. 많이 힘드시겠네요. 일단 지금은 집에서 냉찜질을 해서 가렴증을 가라앉히고 라다 크림바르면서 항히스타민 지르텍 같은거 있으면 드시고 내일 진료 받아보셔요
입 벽에 하얗게 일어나면서 아픕니다. 구강성교로 성기 전염이 가능한가요?,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  걱정안하셔도 될 것 같습니다 구내염으로 보이고 감염되지는 않습니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
이거 흑색종인가요???,안녕하세요.  요약 1. 외상이 있었는지부터 확인해 보세요. 2. 발톱 내부에 피멍이 들었다가 굳은 겁니다. 3. 발톱이 자라면서 같이 올라올거니 그때 같이 발톱과 잘라 주면 됩니다. 4. 조갑흑색종은 아닙니다.  건승하세요
전립선염과 배뇨사정 상담부탁드립니다,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  관련은 없을 것 같습니다 병원을 정하셔서 꾸준히 치료와 관리를 받으시면 좋을 것 같습니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
하체저림 헤르페스 관련,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나   나중에 사주째 다시 혈액검사 를 받아서 확인하시는 것이 최선으로 보입니다 현재로는 관련은 없어 보입니다  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
머리가 아파요,안녕하세요. 메디이즈입니다.  의식의 변화라던지 두통이나 구토가 지속이 되는지 확인해 보시고 증상이 지속이되면 머리 영상 검사를 해보시는게 좋겠습니다
